line,item_id,item_name,reason
27,867,"Bread, Martin Hot Dog",Blank counted_qty
28,868,"Bread, Martin Slider",Blank counted_qty
29,869,"Bread, Martin Top Sliced",Blank counted_qty
62,927,"Chip, MS Vicky Variety",Blank counted_qty
63,924,"Chip, Tortilla yellow",Blank counted_qty
72,1102,Cracker Jacks,Blank counted_qty
138,926,Marscino Cherry,Blank counted_qty
173,1103,Peanuts in shell bulk,Blank counted_qty
183,871,"Potato Chip, Kettle",Blank counted_qty
184,870,"Potato Chip, Ms Vicky",Blank counted_qty
186,928,Queen Olives,Blank counted_qty
193,1098,Roll Potato Sli Slider,Blank counted_qty
