item_name,count_unit,total_units,unit_price,extended_value
VANILLA BEAN PASTE,1 32OZ BOTTLE,1.0,59.54,59.54
VANILLA EXTRACT,6/ 16OZ,2.0,30.87,61.74
"HONEY, BEAR PC",12/12OZ,1.0,4.15,4.15
"HONEY, HOT PC",12/12OZ,0.0,8.6,0.0
PAUL PRUDHOMME POULTRY MAGIC,1/24OZ,1.0,9.42,9.42
PAUL PRUDHOMME BLACKEND MAGIC,1/24OZ,1.0,13.13,13.13
GROUND GINGER,1/12.5OZ,1.5,16.07,24.11
GROUND CINNAMON,18OZ,1.25,6.6,8.25
DRY BASIL,5OZ,5.0,6.98,34.9
BLACK SESAME SEEDS,16OZ,1.0,5.09,5.09
GROUND CORIANDER,14OZ,1.5,11.83,17.75
SMOKED PAPRIKA,6/17OZ,0.5,18.16,9.08
DARK CHILI POWDER,6/20 OZ,1.5,11.03,16.54
SPICOLOGY REALLY RANCH,16OZ,1.5,20.98,31.47
WHITE SESAME SEEDS,18OZ,1.0,26.18,26.18
LEMON PEPPER SEASONING,6/ 28 OZ,7.0,15.3,107.1
CURRY POWDER,6/ 16 OZ,1.0,14.06,14.06
DRY TARRAGON,6/ 3.5 OZ,0.5,13.92,6.96
GROUND CUMIN,6/14OZ,3.0,11.83,35.49
DRY MUSTARD,6/ 16 OZ,1.0,9.16,9.16
ONION POWDER- 20OZ,6/ 20 OZ,5.5,9.12,50.16
NASHVILLE RED HOT SEASONING,6 / 17.6OZ,1.5,15.18,22.77
CAJUN SEASONING,6/ 18 OZ,1.0,16.99,16.99
KOSHER SALT- MORTONS,12 / 3LB,11.0,3.15,34.65
PAN SPRAY,6/17 OZ,26.0,6.12,159.12
"BLACK PEPPER, GROUND, 5LB",3/ 5LB,6.0,82.86,497.16
"ITALIAN SEASONING, 28OZ",3 / 1.75LB,2.0,35.53,71.06
BADIA CRUSHED RED PEPPER,4/ 3LB,1.0,17.78,17.78
BADIA GRANULATED GARLIC,4 / 5.5LB,3.75,27.2,102.0
BADIA ONION POWDER,4/4LB,4.0,18.72,74.88
APPLE CIDER VINEGAR,4/1 GAL,18.5,3.62,66.97
WHIRL,3/ 1 GAL,1.0,12.52,12.52
TERIYAKI GLAZE,6/5 LB,1.5,9.25,13.88
"SOY SAUCE, 1 GAL",4/1 GAL,0.5,13.96,6.98
