item_name,dec_units,jan_units,feb_units,jan_minus_dec,feb_minus_jan
"12"" FLOUR TORTILLA",7.0,5.5,5.5,-1.5,0.0
"4.5"" CORN TORTILLA",3.0,3.0,3.0,0.0,0.0
"6"" FLOUR TORTILLA",1.0,1.0,1.0,0.0,0.0
ANTIPASTA SKEWER,1.0,1.0,1.0,0.0,0.0
APPLE CIDER VINEGAR,15.0,18.5,18.5,3.5,0.0
ARTICHOKE HEARTS,11.0,11.0,11.0,0.0,0.0
ASSORTED MINI CUPCAKES,0.0,0.0,0.0,0.0,0.0
Ancho Paste,6.0,6.0,5.5,0.0,-0.5
BACON BIT CKD,1.0,1.0,1.0,0.0,0.0
BACON LAYFLAT,1.0,1.0,1.0,0.0,0.0
BADIA CRUSHED RED PEPPER,1.0,1.0,1.0,0.0,0.0
BADIA GRANULATED GARLIC,4.0,3.75,3.75,-0.25,0.0
BADIA ONION POWDER,4.0,4.0,4.0,0.0,0.0
BAGUETTE,0.5,0.5,0.5,0.0,0.0
BEEF ROUND STEAK,55.0,55.0,55.0,0.0,0.0
BEEF WELLINGTON,2.0,2.0,2.0,0.0,0.0
"BEEF, RIBEYE LIPON",51.9,52.0,52.0,0.1,0.0
BEER CHEESE DIP,2.0,2.0,2.0,0.0,0.0
"BISCUITS, PRECOOKED",0.0,0.0,0.0,0.0,0.0
BLACK BEANS,2.0,2.0,2.0,0.0,0.0
BLACK EYED PEAS,4.0,4.0,4.0,0.0,0.0
"BLACK PEPPER, GROUND, 5LB",3.0,6.0,6.0,3.0,0.0
BLACK SESAME SEEDS,1.0,1.0,1.0,0.0,0.0
BRATWURST,2.0,2.0,2.0,0.0,0.0
"BREAD, PANINI",1.0,1.0,1.0,0.0,0.0
"BREAD, SOURDOUGH",1.0,1.0,1.0,0.0,0.0
BRISKET SAUSAGE,1.0,1.0,1.0,0.0,0.0
BURGER BUN,2.0,2.0,2.0,0.0,0.0
"BUTTER, CLARIFIED",2.0,2.0,2.0,0.0,0.0
"BUTTER, UNSALTED",2.0,2.0,2.0,0.0,0.0
"BUTTER, WHIPPED",2.0,2.0,0.0,0.0,-2.0
Beef Chili,1.0,1.0,1.0,0.0,0.0
"Beef, 2oz Patty",2.0,2.0,2.0,0.0,0.0
"Beef, Flank Steak",25.22,25.2,25.2,-0.02,0.0
"Beef, Tri Tip",120.0,120.0,120.0,0.0,0.0
"Bun, Hot dog",0.0,0.0,3.0,0.0,3.0
CAJUN SEASONING,0.0,1.0,1.0,1.0,0.0
"CANNOLI SHELL, LARGE",0.0,0.0,0.0,0.0,0.0
CATTLEMANS GOLD BBQ,2.0,0.75,0.75,-1.25,0.0
CHEDDAR CHEESE SAUCE,0.0,0.0,0.0,0.0,0.0
CHEDDAR SAUSAGE,0.0,0.0,0.0,0.0,0.0
"CHEESE, CHEDDAR SLICED",5.0,5.0,2.5,0.0,-2.5
"CHEESE, GOAT CRUMBLED",4.0,0.0,0.0,-4.0,0.0
"CHEESE, GOUDA SLICE",1.0,1.0,1.0,0.0,0.0
"CHEESE, PEPPERJACK SLICE",5.0,5.0,3.0,0.0,-2.0
"CHEESE, VELVEETA",4.0,4.0,4.0,0.0,0.0
CHICKEN-APPLE SAUSAGE,1.0,0.75,0.75,-0.25,0.0
CHIPOTLE IN ADOBO,43.0,43.0,43.0,0.0,0.0
CHOCOLATE SHAVINGS,3.0,3.0,3.0,0.0,0.0
CHOCOLATE SPRINKES,4.0,4.0,4.0,0.0,0.0
CHOPPED SPINACH,3.0,3.0,3.0,0.0,0.0
CINNAMON ROLLS,1.0,1.0,1.0,0.0,0.0
COFFEE CAKE BATTER,2.0,2.0,2.0,0.0,0.0
"COOKIE, CHOCOLATE CHIP",0.0,0.75,1.75,0.75,1.0
"COOKIE, SUGAR",0.0,0.75,1.75,0.75,1.0
CORN BREAD,3.0,3.0,3.0,0.0,0.0
CORN BREAD MIX,9.5,7.0,7.0,-2.5,0.0
CRISPY ONIONS,1.0,1.0,1.0,0.0,0.0
CROUTONS,1.0,1.0,1.0,0.0,0.0
CURRY POWDER,0.25,1.0,1.0,0.75,0.0
"Cheese, American",2.5,2.5,2.25,0.0,-0.25
"Cheese, Mozzarella Shredded",1.0,2.0,2.0,1.0,0.0
Chicken Wings,3.0,3.0,3.0,0.0,0.0
"Chicken, Breast BNLS SKNLS",40.0,40.0,20.0,0.0,-20.0
"Chicken, Thigh BNLS",40.0,40.0,20.0,0.0,-20.0
"Cookie, S'more",0.0,0.0,1.0,0.0,1.0
CornBread,3.0,3.0,3.0,0.0,0.0
DARK CHILI POWDER,1.25,1.5,1.5,0.25,0.0
"DEMI, BONEWORKS",2.0,2.0,2.0,0.0,0.0
DICED PIMENTO,15.0,15.0,15.0,0.0,0.0
DICED TOMATO- #10 CAN,10.0,10.0,10.0,0.0,0.0
"DIJON, 8.5LB",3.0,3.0,3.0,0.0,0.0
"DIJON, GREY POUPON",4.0,4.0,4.0,0.0,0.0
DRESSING POPPYSEED,18.0,18.0,18.0,0.0,0.0
"DRESSING, 1000 ISLAND",2.0,2.0,2.0,0.0,0.0
"DRESSING, BALSAMIC PC",2.0,0.0,0.0,-2.0,0.0
"DRESSING, BLUE CHEESE",6.0,6.0,6.0,0.0,0.0
"DRESSING, CAESAR",5.0,5.0,5.0,0.0,0.0
"DRESSING, CHIPOTLE RANCH",16.0,16.0,14.0,0.0,-2.0
"DRESSING, FRENCH",0.0,1.0,1.0,1.0,0.0
"DRESSING, HONEY MUSTARD",3.0,3.0,3.0,0.0,0.0
"DRESSING, RANCH",7.0,7.0,7.0,0.0,0.0
DRIED PINEAPPLE,2.0,2.0,2.0,0.0,0.0
DRY BASIL,5.0,5.0,5.0,0.0,0.0
DRY MUSTARD,1.0,1.0,1.0,0.0,0.0
DRY TARRAGON,0.0,0.5,0.5,0.5,0.0
Dark Sweet Cherries,1.0,1.0,1.0,0.0,0.0
"Deli, Ham",0.0,0.75,0.5,0.75,-0.25
"Deli, Turkey",0.0,0.75,0.5,0.75,-0.25
EDAMAME,1.0,1.0,1.0,0.0,0.0
EGG PATTY,0.0,0.0,0.0,0.0,0.0
"EGG, HARD COOKED",0.0,0.0,0.0,0.0,0.0
"EGG, LIQUID",0.0,0.0,0.0,0.0,0.0
"EGG, SHELL ON",0.0,0.0,0.0,0.0,0.0
FAJITA VEGETABLES,1.0,1.0,1.0,0.0,0.0
FONTANA CARAMEL SAUCE,4.0,3.75,3.75,-0.25,0.0
FRENCH FRY,6.0,6.0,6.0,0.0,0.0
"GARLIC, MINCED",12.0,12.0,0.0,0.0,-12.0
"GELATO, ASSORTED",4.0,4.0,4.0,0.0,0.0
GHERKIN,2.0,2.0,2.0,0.0,0.0
GO CHU JANG PASTE,1.0,1.0,1.0,0.0,0.0
"GRIT, RYKOFF WHITE",5.0,5.0,5.0,0.0,0.0
"GRITS, LOGAN MILL",1.0,1.0,0.0,0.0,-1.0
GROUND CINNAMON,1.5,1.25,1.25,-0.25,0.0
GROUND CORIANDER,0.5,1.5,1.5,1.0,0.0
GROUND CUMIN,0.5,3.0,3.0,2.5,0.0
GROUND GINGER,2.0,1.5,1.5,-0.5,0.0
GROUND PORK/ BEEF,20.0,20.0,20.0,0.0,0.0
HERSHEY SYRUP,0.0,0.0,0.0,0.0,0.0
HIDDEN VALLEY RANCH MIX,0.5,0.6,0.6,0.1,0.0
"HONEY, BEAR PC",23.0,1.0,1.0,-22.0,0.0
"HONEY, HOT PC",0.0,0.0,0.0,0.0,0.0
"HONEY, JUG",6.0,6.0,6.0,0.0,0.0
"HONEY, LAVENDAR PC",0.0,0.0,0.0,0.0,0.0
"HONEY, PC",0.0,2.0,2.0,2.0,0.0
"HOT DOGS, 5X1",3.0,3.0,3.0,0.0,0.0
HUMMUS,0.0,0.0,0.0,0.0,0.0
"ITALIAN SEASONING, 28OZ",4.0,2.0,2.0,-2.0,0.0
"JALAPENO, PICKLED WHOLE",5.0,5.0,5.0,0.0,0.0
"JELLY, ASSORTED PC",3.0,3.0,0.0,0.0,-3.0
KALAMATA OLIVE,0.0,0.0,0.0,0.0,0.0
KARO DARK CORN SYRUP,3.0,2.0,2.0,-1.0,0.0
KOSHER SALT - DC,12.0,5.0,5.0,-7.0,0.0
KOSHER SALT- MORTONS,2.0,11.0,11.0,9.0,0.0
"LEMON JUICE, 20OZ",11.0,11.0,11.0,0.0,0.0
LEMON PEPPER SEASONING,6.5,7.0,7.0,0.5,0.0
"LEMON, 165CT",1.0,1.0,1.0,0.0,0.0
LOBSTER MEAT,24.0,24.0,24.0,0.0,0.0
M&M BULK,1.0,1.0,1.0,0.0,0.0
MAPLE SYRUP,4.5,4.5,4.5,0.0,0.0
MARASCHINO CHERRIES,8.5,8.5,8.5,0.0,0.0
"MARINARA, #10 CAN",7.0,7.0,0.0,0.0,-7.0
"MAYONNAISE, HD",4.0,3.0,3.0,-1.0,0.0
"MAYONNAISE, PC",1.0,1.0,1.0,0.0,0.0
"MEATBALLS, 2OZ",2.0,2.0,2.0,0.0,0.0
MINI ECLAIRS,2.0,2.0,2.0,0.0,0.0
MISO PASTE,1.0,1.0,1.0,0.0,0.0
"MUSTARD, PC",2.0,2.0,2.0,0.0,0.0
"MUSTARD, SPICY",1.0,1.0,1.0,0.0,0.0
Mortadella,11.34,11.34,11.34,0.0,0.0
NASHVILLE RED HOT SEASONING,2.0,1.5,1.5,-0.5,0.0
"NUTS, CASHEWS PC",3.0,3.0,3.0,0.0,0.0
"OATMEAL, STEEL CUT",25.0,25.0,25.0,0.0,0.0
"OIL, BLENDED",5.5,5.5,5.5,0.0,0.0
ONION POWDER- 20OZ,6.0,5.5,5.5,-0.5,0.0
PAN SPRAY,32.0,26.0,26.0,-6.0,0.0
"PANCAKE MIX, KRUSTEAZ",9.0,9.0,9.0,0.0,0.0
PANKO BREAD CRUMBS,1.0,1.75,1.75,0.75,0.0
"PASTA, CAMPANELLE",5.0,0.4,0.4,-4.6,0.0
"PASTA, CAPELLINI",1.0,1.5,1.5,0.5,0.0
"PASTA, CAVATAPPI",5.0,5.0,5.0,0.0,0.0
"PASTA, MEDIUM SHELL",2.0,0.0,0.0,-2.0,0.0
"PASTA, PENNE",2.0,1.0,0.0,-1.0,-1.0
"PASTA, TRI COLOR FUSILI",2.0,1.0,1.0,-1.0,0.0
PAUL PRUDHOMME BLACKEND MAGIC,0.5,1.0,1.0,0.5,0.0
PAUL PRUDHOMME POULTRY MAGIC,0.5,1.0,1.0,0.5,0.0
"PEACH, #10 CAN",1.0,1.0,1.0,0.0,0.0
"PEACHES, IQF",2.0,2.0,2.0,0.0,0.0
"PEANUT, TOPPING",4.5,4.5,4.5,0.0,0.0
PEPPEROCINI WHOLE,3.0,2.0,2.0,-1.0,0.0
PEPPERONCINI SLICED,7.0,7.0,7.0,0.0,0.0
PEPPERONI,1.0,1.0,1.0,0.0,0.0
"PLANTAINS, FRIED",2.0,2.0,2.0,0.0,0.0
POBLANO QUESO DIP,2.0,2.0,2.0,0.0,0.0
PORK CHOP,10.0,10.0,10.0,0.0,0.0
"PORK SHOULDER, WHOLE B/I",146.66,147.0,147.0,0.34,0.0
"POTATO CHIPS, MS VIVKY PC",3.0,3.0,0.0,0.0,-3.0
POTATO WEDGES,0.0,0.0,0.0,0.0,0.0
"POTATO, BABY BAKERS IQF",5.0,5.0,5.0,0.0,0.0
PRETZEL BITES,4.0,4.0,4.0,0.0,0.0
PRETZEL BUN,1.0,1.0,1.0,0.0,0.0
"Pickle, Psear",1.0,1.0,0.5,0.0,-0.5
"Potato, Hash Brown Triangle",1.0,1.0,1.0,0.0,0.0
QUEEN OLIVES,5.0,5.0,5.0,0.0,0.0
RED PEARL PEPPERS,4.0,4.0,4.0,0.0,0.0
RED WINE VINEGAR,1.5,0.2,0.2,-1.3,0.0
REFRIED BEANS,6.0,6.0,6.0,0.0,0.0
RELISH,1.0,1.0,1.0,0.0,0.0
"RICE, ARBORIO",8.0,8.0,8.0,0.0,0.0
"RICE, JASMINE",2.0,2.0,2.0,0.0,0.0
"RICE, SUSHI",0.75,0.75,0.75,0.0,0.0
"RICE, YELLOW",3.0,3.0,3.0,0.0,0.0
ROASTED CORN,4.0,4.0,4.0,0.0,0.0
ROASTED RED PEPPER STRIPS- #10CAN,21.0,21.0,21.0,0.0,0.0
ROASTED RED PEPPER STRIPS- 28OZ,11.0,11.0,11.0,0.0,0.0
SALMON FILET,10.0,10.0,10.0,0.0,0.0
SAUERKRAUT,1.0,1.0,1.0,0.0,0.0
SBR BBQ SAUCE,1.5,0.0,0.0,-1.5,0.0
